0x00000000,global_tags
0x00000001,globals\globals
0x00000002,fx\scenery_fx\havok\havok_collection
0x00000003,fx\scenery_fx\havok\havok_collection
0x00000004,fx\screen_fx\small_explosion
0x00000005,fx\particles\flare\explosive_flash
0x00000006,shaders\particle
0x00000007,shaders\particle_options\global_particle_options
0x00000008,shaders\particle_options\albedo_diffuse_only
0x00000009,shaders\default_bitmaps\bitmaps\gray_50_percent
0x0000000A,shaders\particle_options\albedo_diffuse_plus_billboard_alpha
0x0000000B,shaders\default_bitmaps\bitmaps\alpha_grey50
0x0000000C,shaders\particle_options\albedo_palettized
0x0000000D,shaders\particle_options\albedo_palettized_plus_billboard_alpha
0x0000000E,shaders\particle_options\albedo_diffuse_plus_sprite_alpha
0x0000000F,shaders\particle_options\albedo_palettized_plus_sprite_alpha
0x00000010,shaders\particle_options\specialized_rendering_distortion
0x00000011,shaders\particle_options\depth_fade_on
0x00000012,shaders\particle_options\frame_blend_on
0x00000013,shaders\particle_options\self_illumination_constant_color
0x00000014,shaders\particle_shared_pixel_shaders
0x00000015,shaders\particle_shared_vertex_shaders
0x00000016,fx\particles\flare\_bitmaps\flash_soft
0x00000017,shaders\particle_templates\_0_8_0_0_0_1_0_0_0_0
0x00000018,shaders\particle_templates\_0_8_0_0_0_1_0_0_0_0
0x00000019,shaders\particle_templates\_0_8_0_0_0_1_0_0_0_0
0x0000001A,fx\particles\atmospheric\fiery_smoke\smoke_fiery_small_n1
0x0000001B,shaders\default_bitmaps\bitmaps\color_white
0x0000001C,fx\particles\atmospheric\_bitmaps\smoke_fiery_small
0x0000001D,shaders\particle_templates\_1_8_0_0_0_1_1_0_0_0
0x0000001E,shaders\particle_templates\_1_8_0_0_0_1_1_0_0_0
0x0000001F,shaders\particle_templates\_1_8_0_0_0_1_1_0_0_0
0x00000020,fx\physics_templates\_default
0x00000021,ms30\fx\physics_templates\_nil
0x00000022,fx\particles\energy\spark_long
0x00000023,fx\particles\energy\_bitmaps\spark_long
0x00000024,shaders\particle_templates\_0_8_0_0_0_0_0_0_0_0
0x00000025,shaders\particle_templates\_0_8_0_0_0_0_0_0_0_0
0x00000026,shaders\particle_templates\_0_8_0_0_0_0_0_0_0_0
0x00000027,fx\physics_templates\sparks
0x00000028,fx\particles\atmospheric\soft_smoke\soft_smoke_large
0x00000029,fx\particles\atmospheric\_bitmaps\soft_smoke_large
0x0000002A,fx\particles\_gradients\grayscale_light
0x0000002B,shaders\particle_templates\_5_10_0_2_0_1_1_1_0_0
0x0000002C,shaders\particle_templates\_5_10_0_2_0_1_1_1_0_0
0x0000002D,shaders\particle_templates\_5_10_0_2_0_1_1_1_0_0
0x0000002E,fx\physics_templates\explosion_fireball
0x0000002F,sound\sound_classes
0x00000030,sound\global_fx
0x00000031,sound\dsp_effects\sound_effect_templates\mono_distortion
0x00000032,sound\dsp_effects\radio_static\radio_static
0x00000033,sound\dsp_effects\radio_static\radio_loop\in
0x00000034,sound\dsp_effects\radio_static\radio_loop\loop
0x00000035,sound\dsp_effects\radio_static\radio_loop\out
0x00000036,sound\dsp_effects\sound_effect_templates\global_speaker_chorus
0x00000037,sound\dsp_effects\sound_effect_templates\controller_0_headset
0x00000038,sound\dsp_effects\sound_effect_templates\controller_1_headset
0x00000039,sound\dsp_effects\sound_effect_templates\controller_2_headset
0x0000003A,sound\dsp_effects\sound_effect_templates\controller_3_headset
0x0000003B,sound\dsp_effects\covy_radio\covy_radio
0x0000003C,sound\dsp_effects\covy_radio\covy_radio\in
0x0000003D,sound\dsp_effects\covy_radio\covy_radio\loop
0x0000003E,sound\dsp_effects\covy_radio\covy_radio\out
0x0000003F,sound\dsp_effects\radio_static\radio_static_in
0x00000040,sound\dsp_effects\radio_static\radio_static_out
0x00000041,sound\dsp_effects\radio_static\radio_static_loop
0x00000042,sound\dsp_effects\covy_radio\covy_radio_in
0x00000043,sound\dsp_effects\covy_radio\covy_radio_loop
0x00000044,sound\dsp_effects\covy_radio\covy_radio_out
0x00000045,sound\sound_mix
0x00000046,sound\combat_dialogue_constants
0x00000047,sound\default
0x00000048,sound\dsp_effects\reverbs\templates\underwater
0x00000049,sound\levels\underwater\deltatemple_underwater\deltatemple_underwater
0x0000004A,sound\levels\underwater\deltatemple_underwater\front_speakers\loop
0x0000004B,sound\levels\underwater\deltatemple_underwater\rear_speakers\loop
0x0000004C,sound\levels\underwater\enterwater
0x0000004D,sound\levels\underwater\exitwater
0x0000004E,ai\ai_dialogue_globals
0x0000004F,ai\normal
0x00000050,ai\bunkering
0x00000051,ai\assaulting
0x00000052,globals\ai_globals
0x00000053,ai\patrol
0x00000054,ai\formations\spawn_tight
0x00000055,ai\formations\spawn_loose
0x00000056,ai\formations\spawn_2_ghost
0x00000057,ai\formations\spawn_single
0x00000058,ai\squad_templates\line_break
0x00000059,ai\squad_templates\campaign
0x0000005A,ai\squad_templates\sq_camp_grunt_solo
0x0000005B,objects\weapons\pistol\plasma_pistol\plasma_pistol
0x0000005C,objects\weapons\pistol\plasma_pistol\plasma_pistol
0x0000005D,objects\weapons\pistol\plasma_pistol\plasma_pistol
0x0000005E,ms23\objects\weapons\pistol\plasma_pistol\shaders\plasma_pistol_current
0x0000005F,shaders\shader
0x00000060,shaders\shader_options\global_shader_options
0x00000061,shaders\shader_options\albedo_default
0x00000062,shaders\default_bitmaps\bitmaps\default_detail
0x00000063,shaders\shader_options\albedo_detail_blend
0x00000064,shaders\shader_options\albedo_constant
0x00000065,shaders\shader_options\albedo_two_change_color
0x00000066,shaders\shader_options\albedo_four_change_color
0x00000067,shaders\shader_options\albedo_three_detail_blend
0x00000068,shaders\shader_options\albedo_two_detail_overlay
0x00000069,shaders\shader_options\albedo_two_detail
0x0000006A,shaders\shader_options\albedo_color_mask
0x0000006B,shaders\default_bitmaps\bitmaps\reference_grids
0x0000006C,shaders\shader_options\albedo_two_detail_black_point
0x0000006D,shaders\shader_options\albedo_two_change_color_anim
0x0000006E,shaders\shader_options\albedo_chameleon
0x0000006F,shaders\shader_options\albedo_two_change_color_chameleon
0x00000070,shaders\shader_options\albedo_chameleon_masked
0x00000071,shaders\shader_options\albedo_color_mask_hard_light
0x00000072,shaders\shader_options\bump_off
0x00000073,shaders\shader_options\bump_default
0x00000074,shaders\default_bitmaps\bitmaps\default_vector
0x00000075,shaders\shader_options\bump_detail
0x00000076,shaders\shader_options\bump_detail_masked
0x00000077,shaders\shader_options\alpha_test_off
0x00000078,shaders\shader_options\alpha_test_on
0x00000079,shaders\default_bitmaps\bitmaps\default_alpha_test
0x0000007A,shaders\shader_options\specular_mask_from_texture
0x0000007B,shaders\shader_options\material_diffuse_only
0x0000007C,shaders\shader_options\material_cook_torrance_rim_fresnel
0x0000007D,shaders\shader_options\material_two_lobe_phong_option
0x0000007E,shaders\shader_options\material_foliage
0x0000007F,shaders\shader_options\glass_material
0x00000080,shaders\shader_options\material_organism_option
0x00000081,shaders\shader_options\single_lobe_phong
0x00000082,shaders\shader_options\material_car_paint_option
0x00000083,shaders\default_bitmaps\bitmaps\sparklenoisemap
0x00000084,shaders\shader_options\env_map_per_pixel
0x00000085,shaders\default_bitmaps\bitmaps\default_dynamic_cube_map
0x00000086,shaders\shader_options\env_map_dynamic
0x00000087,shaders\shader_options\env_map_from_flat_texture
0x00000088,shaders\default_bitmaps\bitmaps\color_red
0x00000089,shaders\shader_options\illum_simple
0x0000008A,shaders\shader_options\illum_3_channel
0x0000008B,shaders\shader_options\illum_plasma
0x0000008C,shaders\default_bitmaps\bitmaps\alpha_white
0x0000008D,shaders\shader_options\illum_from_diffuse
0x0000008E,shaders\shader_options\illum_detail
0x0000008F,shaders\shader_options\illum_meter
0x00000090,shaders\default_bitmaps\bitmaps\monochrome_alpha_grid
0x00000091,shaders\shader_options\illum_times_diffuse
